id,timestamp,road_name,location_id,vehicle_count,avg_speed,day_of_week,is_weekend,is_holiday
1,2024-01-01 00:00:00,NH-16 Main,1,14,39.26,0,0,0
2,2024-01-01 00:00:00,City Ring Road,2,7,40.68,0,0,0
3,2024-01-01 00:00:00,IT Park Road,3,2,41.94,0,0,0
4,2024-01-01 01:00:00,NH-16 Main,1,18,46.01,0,0,0
5,2024-01-01 01:00:00,City Ring Road,2,3,41.1,0,0,0
6,2024-01-01 01:00:00,IT Park Road,3,16,34.58,0,0,0
7,2024-01-01 02:00:00,NH-16 Main,1,3,44.56,0,0,0
8,2024-01-01 02:00:00,City Ring Road,2,9,45.99,0,0,0
9,2024-01-01 02:00:00,IT Park Road,3,2,42.45,0,0,0
10,2024-01-01 03:00:00,NH-16 Main,1,1,42.26,0,0,0
11,2024-01-01 03:00:00,City Ring Road,2,9,36.66,0,0,0
12,2024-01-01 03:00:00,IT Park Road,3,6,34.57,0,0,0
13,2024-01-01 04:00:00,NH-16 Main,1,20,37.92,0,0,0
14,2024-01-01 04:00:00,City Ring Road,2,0,36.86,0,0,0
15,2024-01-01 04:00:00,IT Park Road,3,4,36.47,0,0,0
16,2024-01-01 05:00:00,NH-16 Main,1,13,31.33,0,0,0
17,2024-01-01 05:00:00,City Ring Road,2,13,39.77,0,0,0
18,2024-01-01 05:00:00,IT Park Road,3,16,30.13,0,0,0
19,2024-01-01 06:00:00,NH-16 Main,1,32,34.27,0,0,0
20,2024-01-01 06:00:00,City Ring Road,2,21,34.18,0,0,0
21,2024-01-01 06:00:00,IT Park Road,3,31,27.19,0,0,0
22,2024-01-01 07:00:00,NH-16 Main,1,38,29.64,0,0,0
23,2024-01-01 07:00:00,City Ring Road,2,57,24.47,0,0,0
24,2024-01-01 07:00:00,IT Park Road,3,45,47.01,0,0,0
25,2024-01-01 08:00:00,NH-16 Main,1,79,21.9,0,0,0
26,2024-01-01 08:00:00,City Ring Road,2,77,26.5,0,0,0
27,2024-01-01 08:00:00,IT Park Road,3,76,29.82,0,0,0
28,2024-01-01 09:00:00,NH-16 Main,1,73,36.34,0,0,0
29,2024-01-01 09:00:00,City Ring Road,2,79,33.92,0,0,0
30,2024-01-01 09:00:00,IT Park Road,3,104,33.28,0,0,0
31,2024-01-01 10:00:00,NH-16 Main,1,79,34.62,0,0,0
32,2024-01-01 10:00:00,City Ring Road,2,73,39.9,0,0,0
33,2024-01-01 10:00:00,IT Park Road,3,100,32.22,0,0,0
34,2024-01-01 11:00:00,NH-16 Main,1,71,37.28,0,0,0
35,2024-01-01 11:00:00,City Ring Road,2,72,34.66,0,0,0
36,2024-01-01 11:00:00,IT Park Road,3,112,32.29,0,0,0
37,2024-01-01 12:00:00,NH-16 Main,1,50,37.59,0,0,0
38,2024-01-01 12:00:00,City Ring Road,2,51,28.59,0,0,0
39,2024-01-01 12:00:00,IT Park Road,3,63,37.98,0,0,0
40,2024-01-01 13:00:00,NH-16 Main,1,47,31.16,0,0,0
41,2024-01-01 13:00:00,City Ring Road,2,46,42.37,0,0,0
42,2024-01-01 13:00:00,IT Park Road,3,57,34.37,0,0,0
43,2024-01-01 14:00:00,NH-16 Main,1,51,29.02,0,0,0
44,2024-01-01 14:00:00,City Ring Road,2,52,47.12,0,0,0
45,2024-01-01 14:00:00,IT Park Road,3,44,40.77,0,0,0
46,2024-01-01 15:00:00,NH-16 Main,1,52,35.67,0,0,0
47,2024-01-01 15:00:00,City Ring Road,2,50,32.89,0,0,0
48,2024-01-01 15:00:00,IT Park Road,3,32,39.63,0,0,0
49,2024-01-01 16:00:00,NH-16 Main,1,59,41.41,0,0,0
50,2024-01-01 16:00:00,City Ring Road,2,44,34.21,0,0,0
51,2024-01-01 16:00:00,IT Park Road,3,48,37.57,0,0,0
52,2024-01-01 17:00:00,NH-16 Main,1,81,31.86,0,0,0
53,2024-01-01 17:00:00,City Ring Road,2,72,33.78,0,0,0
54,2024-01-01 17:00:00,IT Park Road,3,62,33.17,0,0,0
55,2024-01-01 18:00:00,NH-16 Main,1,90,32.58,0,0,0
56,2024-01-01 18:00:00,City Ring Road,2,93,23.96,0,0,0
57,2024-01-01 18:00:00,IT Park Road,3,106,30.55,0,0,0
58,2024-01-01 19:00:00,NH-16 Main,1,85,29.66,0,0,0
59,2024-01-01 19:00:00,City Ring Road,2,88,32.11,0,0,0
60,2024-01-01 19:00:00,IT Park Road,3,92,28.57,0,0,0
61,2024-01-01 20:00:00,NH-16 Main,1,74,23.41,0,0,0
62,2024-01-01 20:00:00,City Ring Road,2,68,33.85,0,0,0
63,2024-01-01 20:00:00,IT Park Road,3,114,26.17,0,0,0
64,2024-01-01 21:00:00,NH-16 Main,1,53,26.5,0,0,0
65,2024-01-01 21:00:00,City Ring Road,2,43,37.26,0,0,0
66,2024-01-01 21:00:00,IT Park Road,3,73,32.05,0,0,0
67,2024-01-01 22:00:00,NH-16 Main,1,53,36.25,0,0,0
68,2024-01-01 22:00:00,City Ring Road,2,38,42.13,0,0,0
69,2024-01-01 22:00:00,IT Park Road,3,49,28.9,0,0,0
70,2024-01-01 23:00:00,NH-16 Main,1,24,41.51,0,0,0
71,2024-01-01 23:00:00,City Ring Road,2,22,47.27,0,0,0
72,2024-01-01 23:00:00,IT Park Road,3,27,36.29,0,0,0
73,2024-01-02 00:00:00,NH-16 Main,1,19,32.33,1,0,0
74,2024-01-02 00:00:00,City Ring Road,2,7,33.84,1,0,0
75,2024-01-02 00:00:00,IT Park Road,3,22,38.13,1,0,0
76,2024-01-02 01:00:00,NH-16 Main,1,7,29.78,1,0,0
